id,title,link,created_at
133,"홍천나누미봉사단, 한부모가정에 '집수리' 통한 '통 큰' 선물",https://www.bokjitimes.com/news/articleView.html?idxno=38051,2024-09-11 13:46:56.170504+00
134,전국 최초 '재활+돌봄' 노인복지관 담양서 개관,https://www.bokjitimes.com/news/articleView.html?idxno=38050,2024-09-11 13:46:56.170504+00
135,"복지부, 폭우·폭염 대비 시도 국장 회의 개최...여름철 취약계층 보호대책 점검",https://www.bokjitimes.com/news/articleView.html?idxno=38048,2024-09-11 13:46:56.170504+00
136,"복지부, 장애인 거주시설 현장 방문...지역사회 자립지원 현장 의견 청취",https://www.bokjitimes.com/news/articleView.html?idxno=38046,2024-09-11 13:46:56.170504+00
137,"에스비글로벌헬스케어, 전국푸드뱅크에 KF94 마스크 300만장 지원",https://www.bokjitimes.com/news/articleView.html?idxno=38044,2024-09-11 13:46:56.170504+00
138,"한국사회복지협의회, '새로운 지역복지 모색' ECHO 세미나 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38042,2024-09-11 13:46:56.170504+00
139,"사랑의열매·KT, 전남대병원에 난청아동 위한 'KT꿈품교실' 개소",https://www.bokjitimes.com/news/articleView.html?idxno=38038,2024-09-11 13:46:56.170504+00
140,"정부, '아프면 쉴 권리' 상병수당 시범사업 2년 더…""추가모형 설계""",https://www.bokjitimes.com/news/articleView.html?idxno=38036,2024-09-11 13:46:56.170504+00
141,"춘천종합사회복지관, 2024년 찾아가는 미디어 교육 개강",https://www.bokjitimes.com/news/articleView.html?idxno=38034,2024-09-11 13:46:56.170504+00
142,"처갓집양념치킨 월피점, 안산시상록장애인복지관에 후라이드 치킨 후원",https://www.bokjitimes.com/news/articleView.html?idxno=38032,2024-09-11 13:46:56.170504+00
143,"장애청년드림팀 19기, '포괄적 접근권'을 위한 해외연수 출정 준비 완료",https://www.bokjitimes.com/news/articleView.html?idxno=38031,2024-09-11 13:46:56.170504+00
144,"한국지적발달장애인복지협회, 발달장애인 자조단체 '연결고리' 대표자 회의 개최",https://www.bokjitimes.com/news/articleView.html?idxno=38030,2024-09-11 13:46:56.170504+00
